"","title","asin","year","genre"
"44","187 He Wrote","B000000504",1993,"Pop"
"45","In a Major Way","B00000052I",1995,"Pop"
"46","Federal","B00000051I",1995,"Pop"
"47","Federal","B00000051I",1995,"Pop"
"48","Die For The Government","B0000005XM",1997,"Alternative Rock"
"49","Five Leaves Left","B00000064E",1992,"Country"
"50","Bryter Layter","B00000064F",1992,"Folk"
"51","Pink Moon","B00000064G",1992,"Folk"
"52","Honey: The Best Of Bobby Goldsboro","B0000008ZY",1996,"Country"
"53","Subliminal Plastic Motives","B0000009AN",1995,"Alternative Rock"
"54","This Year's Model","B0000009OU",1993,"Alternative Rock"
"55","This Is Our Music","B0000009QO",1997,"Alternative Rock"
"56","Imperial Bedroom","B0000009UX",1994,"Alternative Rock"
"57","Goodbye Cruel World","B0000009UZ",1995,"Alternative Rock"
"58","Almost Blue","B0000009UW",1994,"Alternative Rock"
"59","Blood &amp; Chocolate","B0000009V1",1995,"Alternative Rock"
"60","Armed Forces","B0000009UT",1993,"Alternative Rock"
"61","Showdown","B0000009YB",1990,"Blues"
"62","The Charity of Night","B0000009QT",1997,"Folk"
"63","Hank Williams, Jr.'s Greatest Hits, Vol.1","B000000D7C",1993,"Country"
"64","Joan Baez 2","B000000EDW",1995,"Folk"
"65","In Concert 1","B000000EE2",1990,"Folk"
"66","In Concert 2","B000000EE4",1990,"Folk"
"67","Red on Blonde","B000000F52",1996,"Country"
"68","Take a Ride","B000000FG5",1995,"Rap & Hip-Hop"
"69","The Devil Made Me Do It","B000000HHU",1991,"Rap & Hip-Hop"
"70","It Takes a Thief","B000000HJO",1994,"Rap & Hip-Hop"
"71","This Is Your Night","B000000HLL",1997,"Pop"
"72","Gangsta's Paradise","B000000HKV",1995,"Rap & Hip-Hop"
"73","Earth A.D. &amp; Die Die My Darling","B000000HQ1",1996,"Alternative Rock"
"74","Product","B000000HRS",1991,"Jazz"
"75","Unorthodox Behavior","B000000HRP",1989,"Jazz"
"76","Crises","B000000I0D",2000,"Rock"
"77","Five Miles Out","B000000I0G",2000,"Rock"
"78","Static Age","B000000I2R",1997,"Alternative Rock"
"79","Incantations","B000000I0H",1997,"Rock"
"80","Ben Folds Five","B000000IDJ",1995,"Alternative Rock"
"81","Songs for Swingin Lovers","B000000IRN",1990,"Jazz"
"82","Mr Fantasy","B000000ISE",1993,"Rock"
"83","Somethin Else","B000000IS5",1992,"Jazz"
"84","Heaven &amp; Hell","B000000NN1",1997,"Jazz"
"85","Against the Law","B000000OB7",1994,"Rock"
"86","Asia","B000000OMB",1982,"Rock"
"87","Loser","B000000OOE",1994,"Alternative Rock"
"88","Heart of Stone","B000000ORH",1989,"Pop"
"89","Building the Perfect Beast","B000000OPC",1984,"Folk"
"90","Flying Cowboys","B000000ORL",1989,"Folk"
"91","Whitesnake","B000000OPZ",1989,"Pop"
"92","Chalk Mark in a Rain Storm","B000000OQS",1990,"Folk"
"93","Night Ride Home","B000000ORX",1991,"Folk"
"94","Robbie Robertson","B000000OQL",1989,"Alternative Rock"
"95","Great Radio Controversy","B000000ORE",1989,"Pop"
"96","Once Upon A Time/The Singles","B000000OPM",1992,"Alternative Rock"
"97","Letter From Home","B000000ORJ",1989,"Jazz"
"98","Jackyl","B000000OT3",1992,"Pop"
"99","Twice Upon a Time: The Singles","B000000OT5",1992,"Alternative Rock"
"100","Shooting Rubberbands At The Stars","B000000OQW",1988,"Alternative Rock"
"101","Pop Pop","B000000OSL",1991,"Folk"
"102","Mechanical Resonance","B000000OQ5",1989,"Pop"
"103","Supersexy Swingin' Sounds","B000000OVC",1996,"Alternative Rock"
"104","Liquid Swords","B000000OUJ",1995,"Rap & Hip-Hop"
"105","The End of the Innocence","B000000ORB",1989,"Folk"
"106","Back to Basics: The Essential Collection 1971-1992","B000000OSU",1992,"Country"
"107","Planet P Project","B000000OXD",1992,"Pop"
"108","Tails","B000000OU9",1995,"Alternative Rock"
"109","American Psycho","B000000OWM",1997,"Alternative Rock"
"110","Wild Things Run Fast","B000000OME",1991,"Folk"
"111","Cher","B000000OYK",1996,"Pop"
"112","You Gotta Sin to Get Saved","B000000P0N",1997,"Alternative Rock"
"113","Actual Miles: Henley's Greatest Hits","B000000OUU",1995,"Folk"
"114","Firecracker","B000000OWT",1997,"Pop"
"115","Total Madness - Very Best of Madness","B000000OWW",1997,"Alternative Rock"
"116","Mosaic","B000000OYB",1996,"Alternative Rock"
"117","Outrider","B000000OYQ",1988,"Rock"
"118","Everywhere at Once","B000000P0G",1992,"Alternative Rock"
"119","Tragic Kingdom [Vinyl]","B000000TDH",1996,"Alternative Rock"
"120","Amor Prohibido","B000000VC2",1994,"Pop"
"121","Here Come the Lords","B000000W2Z",1993,"Rap & Hip-Hop"
"122","Hyperborea","B000000W54",1994,"Pop"
"123","Protection","B000000W6X",1995,"Pop"
"124","Mr Scarface Is Back","B000000W7W",1995,"Rap & Hip-Hop"
"125","World Is Yours","B000000W7O",1993,"Rap & Hip-Hop"
"126","Operation Stackola","B000000W98",1995,"Rap & Hip-Hop"
"127","Resurrection","B000000WBB",1996,"Rap & Hip-Hop"
"128","Becoming X","B000000WCT",1997,"Alternative Rock"
"129","Keep on Movin","B000000WGX",1989,"Jazz"
"130","Key Lime Pie","B000000WGZ",1989,"Alternative Rock"
"131","Homework","B000000WCV",1997,"Pop"
"132","Volume 2-1990: New Decade","B000000WHB",1990,"Pop"
"133","Mystery Girl","B000000WGN",1992,"Rock"
"134","Laughter &amp; Lust","B000000WHW",1992,"Alternative Rock"
"135","After 7","B000000WGP",1992,"Blues"
"136","Forever Your Girl","B000000WGF",1992,"Pop"
"137","Home Brew","B000000WJ5",1992,"Rock"
"138","Are You Gonna Go My Way","B000000WJA",1993,"Alternative Rock"
"139","Porcelain","B000000WH4",1992,"Folk"
"140","Ultra","B000000WZ4",1997,"Alternative Rock"
"141","Brilliant Corners","B000000Y1H",1991,"Jazz"
"142","Jazz at Massey Hall","B000000Y2R",1989,"Jazz"
"143","Things Are Getting Better","B000000Y1W",1988,"Jazz"
"144","Blue Haze","B000000Y5M",1988,"Jazz"
"145","Straight Ahead","B000000Y5Y",1989,"Jazz"
"146","Monk's Music","B000000Y52",1991,"Jazz"
"147","Bags Groove","B000000YDT",1991,"Jazz"
"148","Boss Guitar","B000000YES",1991,"Jazz"
"149","Relaxin' with the Miles Davis Quintet","B000000YAL",1991,"Jazz"
"150","It Could Happen To You","B000000YGZ",2006,"Jazz"
"151","Saxophone Colossus","B000000YG5",1991,"Jazz"
"152","Way Out West","B000000YIQ",2013,"Jazz"
"153","Stan Getz With Cal Tjader","B000000YFK",2006,"Jazz"
"154","To Be Continued","B000000ZHM",1989,"Blues"
"155","Be Altitude: Respect","B000000ZGT",2017,"Pop"
"156","Woman to Woman","B000000ZHQ",1990,"Blues"
"157","Hot Buttered Soul (Remastered)","B000000ZGO",2006,"Pop"
"158","Mclemore Avenue","B000000ZKD",1991,"Blues"
"159","Black Moses","B000000ZMS",1990,"Blues"
"160","Burglar","B0000011MD",2017,"Blues"
"161","A Gift From A Flower To A Garden","B0000011N5",1999,"Folk"
"162","Walk Into Light","B0000011P7",1997,"Pop"
"163","United States of America","B0000011XM",1997,"Alternative Rock"
"164","Definition of a Band","B0000012T3",1996,"Blues"
"165","Southernplayalisticadillacmuzik","B0000013GB",1994,"Blues"
"166","Atliens","B0000013GT",1996,"Rap & Hip-Hop"
"167","Secrets","B0000013GH",1996,"Pop"
"168","Toni Braxton","B0000013G5",1993,"Pop"
"169","Words","B0000013GL",1996,"Blues"
"170","All Eyez on Me","B00000163G",1996,"Pop"
"171","This Nation's Saving Grace","B00000189I",1997,"Alternative Rock"
"172","Songs About Fucking","B0000019GE",1992,"Alternative Rock"
"173","Slint","B0000019KE",2010,"Alternative Rock"
"174","At Action Park","B0000019KU",2000,"Alternative Rock"
"175","Spiderland","B0000019HU",1994,"Alternative Rock"
"176","Don Caballero 2","B0000019KZ",1995,"Alternative Rock"
"177","Mister Magic","B000001A5Z",1995,"Jazz"
"178","Songs in the Key of Life","B000001A6X",1992,"Rock"
"179","Innervisions","B000001A6N",1990,"Rock"
"180","Anthology","B000001A8T",1995,"Blues"
"181","The Best of Marvin Gaye (Motown Anthology Series)","B000001A9C",1995,"Blues"
"182","Let's Get the Mood Right","B000001AAT",1996,"Blues"
"183","The Best of Michael Jackson (Anthology Series)","B000001A8C",1995,"Blues"
"184","For Lovers Only","B000001AA2",1995,"Blues"
"185","Soulsation: 25th Anniversary Collection","B000001A8H",1995,"Blues"
"186","What's Going on","B000001A5X",1994,"Blues"
"187","My Cherie Amour","B000001ADF",1989,"Rock"
"188","For Once in My Life","B000001AEL",1989,"Pop"
"189","Come Get It","B000001AFF",2005,"Blues"
"190","All the Great Hits","B000001ABG",1992,"Blues"
"191","Evening With","B000001AFH",1992,"Blues"
"192","Take Me Higher","B000001AAF",1995,"Pop"
"193","Inner City Blues","B000001AAB",1995,"Jazz"
"194","Diana Ross","B000001AFY",1992,"Blues"
"195","Irons in the Fire","B000001AH0",2003,"Blues"
"196","Signed Sealed Delivered","B000001ADD",1989,"Rock"
"197","Johnny Gill","B000001AK5",1992,"Blues"
"198","Commodores","B000001AEE",1990,"Pop"
"199","Hotter Than July","B000001AJO",1992,"Rock"
"200","Characters","B000001AJU",1989,"Rock"
"201","Street Songs","B000001AHX",1992,"Blues"
"202","Provocative","B000001AKR",1993,"Blues"
"203","Conversation Peace","B000001ALK",1995,"Rock"
"204","Forever Diana","B000001AKT",1993,"Blues"
"205","Ultimate Collection","B000001AMX",1997,"Blues"
"206","Evolution","B000001ANR",1997,"Blues"
"207","Cooleyhighharmony (Plus Spanish Tracks)-Boyz II Men","B000001ALI",1993,"Pop"
"208","In Square Circle","B000001AJI",1992,"Rock"
"209","Vulnerable","B000001ANM",1997,"Blues"
"210","Dancing on the Ceiling","B000001AJK",1992,"Rap & Hip-Hop"
"211","Bustin Out of L Seven","B000001AM7",1994,"Blues"
"212","Copperhead Road","B000001BZT",1988,"Country"
"213","Accelerator","B000001D7E",1996,"Pop"
"214","Caribou","B000001DQG",1996,"Folk"
"215","In-Sides","B000001DSD",1997,"Pop"
"216","A Decade of Hits 1969-1979","B000001DUK",1991,"Blues"
"217","20 All Time Greatest Hits!","B000001DUP",1991,"Pop"
"218","Tears for Fears - Tears Roll Down: Greatest Hits 82-92","B000001DU5",2003,"Alternative Rock"
"219","Elton John's Greatest Hits, Volume 2","B000001DVR",1992,"Folk"
"220","Love Power Peace: Live at the Olympia, Paris 1971","B000001DWX",1992,"Blues"
"221","Rare Masters","B000001DXH",1992,"Folk"
"222","Whisper a Prayer","B000001DYH",1993,"Blues"
"223","Sons of Soul","B000001DZ6",1993,"Blues"
"224","Elton John - Greatest Hits","B000001DVP",1992,"Folk"
"225","The Payback","B000001DZU",1992,"Blues"
"226","A Night At Red Rocks With The Colorado Symphony Orchestra","B000001E0O",1993,"Pop"
"227","The Best of CAMEO","B000001DYS",1993,"Blues"
"228","Gold: Greatest Hits","B000001DZO",1993,"Pop"
"229","Wild &amp; Peaceful","B000001E44",1996,"Blues"
"230","Celebration: The Best of Kool &amp; the Gang 1979-1987","B000001E56",1994,"Blues"
"231","Barry White : All-Time Greatest Hits","B000001E58",1994,"Blues"
"232","Hot Pants","B000001E0U",1993,"Blues"
"233","Best of Gap Band","B000001E54",1994,"Blues"
"234","Sex Machine","B000001E0S",1993,"Blues"
"235","In the House of Stone &amp; Light","B000001E46",1994,"Folk"
"236","Your Little Secret","B000001E8L",1995,"Folk"
"237","Best of","B000001E5X",1994,"Country"
"238","Elemental","B000001DYY",1993,"Alternative Rock"
"239","Made In England","B000001EDN",1995,"Pop"
"240","Revolution Of The Mind","B000001E0Q",1993,"Blues"
"241","His Majesty King Funk / Up With Donald Byrd","B000001EEP",1995,"Jazz"
"242","Cross Road","B000001EC1",1994,"Pop"
"243","100 Degrees &amp; Rising","B000001EFF",1995,"Jazz"
"244","Madman Across the Water","B000001EGC",1996,"Folk"
"245","11-17-70","B000001EGI",1996,"Folk"
"246","Don't Shoot Me I'm Only the Piano Player","B000001EG2",1996,"Folk"
"247","Elton John","B000001EG6",1996,"Folk"
"248","Empty Sky","B000001EG8",1996,"Alternative Rock"
"249","Funky Good Time: Anthology","B000001EE8",1995,"Blues"
"250","After the Storm","B000001EIW",1994,"Jazz"
"251","Can't Get Enough","B000001EJU",1996,"Blues"
"252","Captain Fantastic and the Brown Dirt Cowboy","B000001EGA",1996,"Folk"
"253","Light of Worlds","B000001EKE",1996,"Blues"
"254","Honky Ch&acirc;teau","B000001EGE",1996,"Folk"
"255","Rock of the Westies","B000001EM3",1996,"Folk"
"256","Fencewalk: Anthology","B000001EIU",1997,"Blues"
"257","First Band on the Moon","B000001EP1",1996,"Alternative Rock"
"258","Sings for Someone You Love","B000001EOG",1996,"Blues"
"259","The Very Best of 10cc","B000001EW7",1997,"Pop"
"260","Come On Over","B000001EW3",1997,"Country"
"261","The Big Picture","B000001EXB",1997,"Folk"
"262","Blackout","B000001EUP",1982,"Pop"
"263","Anytime","B000001EWU",1997,"Blues"
"264","She's Strange","B000001F4Z",1990,"Blues"
"265","The Present","B000001F2S",1983,"Pop"
"266","Best of","B000001F00",1997,"Pop"
"267","The Hurting","B000001F38",1990,"Alternative Rock"
"268","A Question of Balance","B000001F6A",1987,"Pop"
"269","I've Got So Much to Give","B000001F4T",1994,"Blues"
"270","Bon Jovi","B000001F4X",1990,"Pop"
"271","In Search of the Lost Chord","B000001F66",1987,"Pop"
"272","The Crossing","B000001F4B",1990,"Alternative Rock"
"273","Gap Band 3","B000001F9J",1993,"Blues"
"274","The Best That I Could Do 1978-1988","B000001EYI",1997,"Pop"
"275","Octave","B000001F6G",1990,"Pop"
"276","Long Distance Voyager","B000001F5Y",1986,"Pop"
"277","Emergency","B000001FA7",1990,"Blues"
"278","Celebrate!","B000001F7V",1987,"Pop"
"279","Disraeli Gears","B000001FAO",1988,"Pop"
"280","Songs From The Big Chair","B000001FC0",1990,"Alternative Rock"
"281","On The Radio: Greatest Hits Volumes I &amp; II","B000001F8P",1987,"Pop"
"282","Gap Band 4","B000001F9P",2003,"Blues"
"283","Mothership Connection","B000001FCM",1990,"Blues"
"284","Odessa","B000001FE0",1990,"Alternative Rock"
"285","Blue Jays","B000001F6P",1987,"Pop"
"286","Sound Affects","B000001FAG",2004,"Alternative Rock"
"287","Elis &amp; Tom","B000001FCB",1990,"Jazz"
"288","Funkentelechy Vs. the Placebo Syndrome","B000001FCK",1990,"Blues"
"289","Seventh Sojourn","B000001F60",1997,"Pop"
"290","Timeless","B000001FIH",1998,"Other"
"291","How to Be a Zillionaire","B000001FD5",1990,"Alternative Rock"
"292","Rain Dogs","B000001FFJ",1990,"Alternative Rock"
"293","In the Jungle Groove","B000001FJV",2002,"Blues"
"294","Champagne Jam","B000001FJY",2005,"Pop"
"295","Cameosis","B000001FKJ",1993,"Blues"
"296","Word Up","B000001FKH",2006,"Blues"
"297","World Machine","B000001FJW",1990,"Alternative Rock"
"298","Idea","B000001FNE",1997,"Alternative Rock"
"299","P-Funk Earth Tour","B000001FOJ",1991,"Blues"
"300","Horizontal","B000001FND",1997,"Pop"
"301","Fighting","B000001FT9",1990,"Pop"
"302","Nightclubbing","B000001FT2",1990,"Alternative Rock"
"303","Seeds of Love","B000001FQI",1989,"Alternative Rock"
"304","Up for the Down Stroke","B000001FU9",1990,"Blues"
"305","Warm Leatherette","B000001FU5",1990,"Alternative Rock"
"306","Stone Gon'","B000001FPI",1994,"Blues"
"307","Age of Plastic","B000001FVL",1990,"Alternative Rock"
"308","Slave To The Rhythm","B000001FU6",1990,"Pop"
"309","Traffic","B000001FTX",1990,"Rock"
"310","Clones of Dr Funkenstein","B000001FUB",1990,"Blues"
"311","Bob Marley and the Wailers Live!","B000001FXV",1990,"Alternative Rock"
"312","Gloryhallastoopid","B000001FUF",2005,"Blues"
"313","James Brown Live At The Apollo, 1962","B000001FWQ",1990,"Pop"
"314","The Layla Sessions: Layla and Other Assorted Love Songs","B000001FZ6",NA,"Pop"
"315","Contradiction","B000001G09",1991,"Pop"
"316","Secret Wish","B000001FTS",1990,"Alternative Rock"
"317","Honey","B000001G07",1991,"Blues"
"318","Dead City Radio","B000001FYF",1990,"Other"
"319","Dream Fulfilled","B000001FZW",1991,"Blues"
"320","Skin Tight","B000001G03",1994,"Blues"
"321","Yes I Am","B000001G0U",1993,"Folk"
"322","Wolf in Sheep's Clothing","B000001G0E",1994,"Rap & Hip-Hop"
"323","Brian McKnight","B000001G0Q",1992,"Blues"
"324","Move to This","B000001FZH",2004,"Pop"
"325","Beauty and The Beat","B000001I0O",1986,"Alternative Rock"
"326","Call of the West","B000001I0C",1987,"Alternative Rock"
"327","All the Rage","B000001I0R",1987,"Alternative Rock"
"328","Punk in Drublic","B000001IPS",2004,"Alternative Rock"
"329","So Long &amp; Thanks for All the Shoes","B000001IU1",2004,"Alternative Rock"
"330","Solja Stories","B000001O4U",1997,"Rap & Hip-Hop"
"331","What You Won't Do for Love","B000001PGZ",2016,"Jazz"
"332","Rock Your Baby: Best of","B000001QJN",1995,"Jazz"
"333","Carnival of Carnage","B000001UNF",2015,"Alternative Rock"
"334","Windsong","B000001U4Y",1997,"Country"
"335","Lesson to Be Learned","B000001UK0",1993,"Blues"
"336","Ruthless By Law","B000001UKE",1994,"Rap & Hip-Hop"
"337","The Don Killuminati (The 7 Day Theory)","B000001Y15",1996,"Pop"
"338","Doggfather","B000001Y13",1996,"Blues"
"339","No Doubt","B000001Y5B",1992,"Alternative Rock"
"340","The Aftermath","B000001Y1B",1996,"Rap & Hip-Hop"
"341","Necessary Roughness","B000001Y3J",1997,"Blues"
"342","Brown Album","B000001Y47",1997,"Alternative Rock"
"343","Bigger, Better, Faster, More!","B000001Y5D",1992,"Alternative Rock"
"344","Fush Yu Mang","B000001Y4M",1997,"Alternative Rock"
"345","Meantime","B000001Y5F",1992,"Alternative Rock"
"346","Blackstreet","B000001Y61",1994,"Blues"
"347","Beacon Street Collection","B000001Y4W",1997,"Alternative Rock"
"348","Tales From the Punchbowl","B000001Y73",1995,"Alternative Rock"
"349","Sailing the Seas of Cheese","B000001Y57",NA,"Alternative Rock"
"350","Non-Stop Erotic Cabaret","B000001ZCS",1996,"Alternative Rock"
"351","Kickin Game","B000001ZBL",1994,"Rap & Hip-Hop"
"352","Where Are All the Nice Girls","B00000203G",1997,"Alternative Rock"
"353","No Telling Lies","B00000235Q",2009,"Pop"
"354","Regulate G-Funk Era","B0000024I7",1994,"Pop"
"355","Mr Smith","B0000024JD",1995,"Rap & Hip-Hop"
"356","Muse Sick-N-Hour Mess Age","B0000024IB",1994,"Rap & Hip-Hop"
"357","14 Shots to the Dome","B0000024IS",1994,"Blues"
"358","N Gatz We Trust","B0000024L0",1995,"Rap & Hip-Hop"
"359","Born Gangstaz","B0000024IY",1993,"Rap & Hip-Hop"
"360","T.H.U.G.S.","B0000024LT",1996,"Rap & Hip-Hop"
"361","Yo Bum Rush the Show","B0000024JZ",1995,"Rap & Hip-Hop"
"362","Ill Na Na","B0000024LW",1996,"Rap & Hip-Hop"
"363","Take a Look Over Your Shoulder","B0000024MZ",1997,"Pop"
"364","Muddy Waters","B0000024LN",1996,"Rap & Hip-Hop"
"365","Double Or Nothing","B0000024KT",1995,"Rap & Hip-Hop"
"366","All We Got Iz Us","B0000024KQ",1995,"Rap & Hip-Hop"
"367","Fear of a Black Planet","B0000024IE",1994,"Rap & Hip-Hop"
"368","In My Lifetime 1","B0000024MU",1997,"Rap & Hip-Hop"
"369","Mama Said Knock You Out","B0000024II",1994,"Rap & Hip-Hop"
"370","Wednesday Morning 3 Am","B0000024S9",1990,"Folk"
"371","Parsley Sage Rosemary &amp; Thyme","B0000024T5",1990,"Folk"
"372","Sounds of Silence","B0000024SN",1990,"Folk"
"373","Licensed To Ill","B0000024JN",1995,"Alternative Rock"
"374","Sunshine Superman","B0000024VP",1990,"Folk"
"375","Songs of Leonard Cohen","B0000024TT",1989,"Folk"
"376","The Graduate (1967 Film)","B0000024PC",1990,"Folk"
"377","Barabajagal","B0000024VV",1989,"Folk"
"378","Bridge Over Troubled Water","B0000024UX",1990,"Folk"
"379","Stoney End","B0000024WW",1990,"Pop"
"380","Stand","B0000024VT",1990,"Pop"
"381","The Hurdy Gurdy Man","B0000024VQ",1988,"Folk"
"382","Elf","B0000024ZQ",1991,"Pop"
"383","Simon and Garfunkel's Greatest Hits","B0000024YL",1988,"Folk"
"384","Ship Ahoy","B000002510",1988,"Blues"
"385","Christmas &amp; Beads of Sweat","B0000024WG",1990,"Folk"
"386","Three Friends","B0000024ZC",NA,"Pop"
"387","Why Dontcha","B0000024ZV",1989,"Pop"
"388","Gonna Take a Miracle","B0000024XY",1990,"Folk"
"389","Souvenirs","B000002537",1990,"Folk"
"390","Streetlife Serenade","B000002539",1990,"Folk"
"391","All American Boy","B00000251D",1990,"Pop"
"392","Blood on the Tracks","B00000253N",1990,"Folk"
"393","Sun Goddess","B00000253J",1990,"Jazz"
"394","R.E.O./T.W.O.","B0000024ZF",1989,"Pop"
"395","Third","B0000024WV",1991,"Jazz"
"396","Breakaway","B00000255B",1990,"Pop"
"397","Butterfly","B00000252W",1990,"Pop"
"398","Gratitude","B00000255A",1987,"Pop"
"399","Captured Angel","B00000254I",1990,"Folk"
"400","Beautiful Noise","B00000256E",1990,"Pop"
"401","Smile","B000002562",1991,"Folk"
"402","Ridin the Storm Out","B00000250W",1990,"Pop"
"403","Silk Degrees","B000002564",1990,"Pop"
"404","Jacksons","B00000257B",1990,"Blues"
"405","Celebrate Me Home","B00000259D",1990,"Pop"
"406","Starcastle","B000002563",1992,"Pop"
"407","Go for Your Guns","B00000258G",1990,"Blues"
"408","Karla Bonoff","B00000259L",1990,"Folk"
"409","Little Queen","B0000025AD",1989,"Pop"
"410","Goin Places","B0000025AM",1990,"Blues"
"411","The Best of Leonard Cohen","B00000256G",1988,"Folk"
"412","Rhymes &amp; Reasons","B0000025BE",1991,"Folk"
"413","Tapestry","B0000025BA",1990,"Folk"
"414","I'm Glad You're Here With Me Tonight","B0000025BT",1990,"Pop"
"415","Toto","B0000025CY",1990,"Pop"
"416","Wrap Around Joy","B0000025BF",2011,"Folk"
"417","Streisand Superman","B0000025AK",1990,"Pop"
"418","Twin Sons of Different Mothers","B0000025D3",1990,"Folk"
"419","Pure Mania","B0000025BY",1990,"Alternative Rock"
"420","Central Heating","B0000025CM",1995,"Blues"
"421","Too Hot to Handle","B0000025A7",1990,"Pop"
"422","All 'N All","B0000025AS",1990,"Pop"
"423","Face the Music","B0000025DR",1990,"Pop"
"424","David Gilmour","B0000025DD",1990,"Rock"
"425","Off the Wall","B0000025F7",1990,"Blues"
"426","Writer","B0000025B9",2009,"Folk"
"427","Fantasy","B0000025BH",1991,"Folk"
"428","Phoenix","B0000025EN",1990,"Folk"
"429","Double Live Gonzo","B0000025C3",1990,"Pop"
"430","Keep the Fire","B0000025H2",1990,"Pop"
"431","Discovery","B0000025FG",1990,"Pop"
"432","Nine Lives","B0000025GB",1990,"Pop"
"433","New World Record","B0000025DT",1990,"Pop"
"434","Jeff Wayne's Musical Version of: The War Of The Worlds","B0000025CO",1990,"Pop"
"435","Romantics","B0000025HK",1993,"Alternative Rock"
"436","Triumph","B0000025IA",1990,"Blues"
"437","52nd Street","B0000025ED",NA,"Folk"
"438","Dream Police","B0000025FJ",1990,"Alternative Rock"
"439","Hydra","B0000025HE",1990,"Pop"
"440","Psychedelic Furs","B0000025K6",1990,"Alternative Rock"
"441","You're Only Lonely","B0000025GT",1990,"Folk"
"442","Hi Infidelity","B0000025KF",1988,"Pop"
"443","Kings of the Wild Frontier","B0000025L7",1990,"Alternative Rock"
"444","Point of Entry","B0000025LB",1990,"Alternative Rock"
"445","Live Concert at the Forum","B0000024ZL",1989,"Pop"
"446","Songs in the Attic","B0000025NU",1989,"Folk"
"447","Winner Takes All","B0000025GR",1989,"Blues"
"448","Talk Talk Talk","B0000025NB",1990,"Alternative Rock"
"449","The Jacksons Live","B0000025OA",1990,"Blues"
"450","Innocent Age","B0000025NJ",1985,"Folk"
"451","Guilty","B0000025JT",1988,"Pop"
"452","Prince Charming","B0000025OL",1991,"Alternative Rock"
"453","Face to Face","B0000025HY",1991,"Pop"
"454","Memories","B0000025OY",1986,"Pop"
"455","Business As Usual","B0000025R3",1990,"Alternative Rock"
"456","Loverboy","B0000025JY",1989,"Pop"
"457","Hughes / Thrall","B0000025RM",1991,"Pop"
"458","12 Greatest Hits, Vol. 2","B0000025RD",1988,"Pop"
"459","Get Lucky","B0000025OR",1990,"Pop"
"460","Juicy Fruit","B0000025UL",1990,"Blues"
"461","Thriller","B0000025RI",1990,"Blues"
"462","Friend Or Foe","B0000025TB",1990,"Alternative Rock"
"463","Cargo","B0000025UZ",1990,"Alternative Rock"
"464","On the Way to the Sky","B0000025ON",1990,"Pop"
"465","Defenders of the Faith","B0000025YM",1990,"Alternative Rock"
"466","All Over the Place","B0000025YO",1990,"Alternative Rock"
"467","Classics: The Early Years","B0000025VL",1989,"Pop"
"468","Busy Body","B0000025YF",1990,"Blues"
"469","Between the Sheets","B0000025V4",1990,"Pop"
"470","Keep It Up","B0000025VC",1990,"Pop"
"471","Isolation","B0000025WY",1990,"Pop"
"472","She's So Unusual","B0000025WQ",1990,"Alternative Rock"
