"","title","asin","genre","year","price","recommendation","sim"
"49","Gypsys Tramps &amp; Thieves","B000007S0L","Pop",1998,19.99,"If I Could Turn Back Time: Cher's Greatest Hits",0.843390197192665
"50","She's So Unusual","B0000025WQ","Alternative Rock",1990,14.99,"Hat Full of Stars",0.842731631021777
"51","Hat Full of Stars","B0000028QO","Alternative Rock",1993,9.99,"She's So Unusual",0.842731631021777
"52","Orchid","B000005HN6","Other",1997,9.42,"My Arms Your Hearse",0.841299849048114
"53","My Arms Your Hearse","B00000A6JS","Other",1998,9.49,"Orchid",0.841299849048114
"54","Duran Duran the singles 81-85","B00008NEGG","Alternative Rock",2009,18.99,"Astronaut",0.839528014829414
"55","Astronaut","B0002X591A","Alternative Rock",2004,4.49,"Duran Duran the singles 81-85",0.839528014829414
"56","2000 Years: Millennium Concert","B00004T0QB","Folk",2000,14.99,"12 Gardens: Live 2CD",0.836074339560098
"57","The Miseducation Of Lauryn Hill","B00000ADG2","Rap & Hip-Hop",1998,6.72,"MTV Unplugged No. 2.0",0.835778921508669
"58","MTV Unplugged No. 2.0","B000065625","Blues",2002,12.85,"The Miseducation Of Lauryn Hill",0.835778921508669
"59","Sundown","B000002KC2","Folk",1987,13.99,"Cold on the Shoulder",0.834664291848945
"60","Cold on the Shoulder","B000002MST","Folk",1994,19.55,"Sundown",0.834664291848945
"61","Shyne","B00004XQZS","Rap & Hip-Hop",2005,11.51,"Godfather Buried Alive",0.834219360988226
"62","Godfather Buried Alive","B0002JUWZW","Rap & Hip-Hop",2004,11.18,"Shyne",0.834219360988226
"63","Personal Best: The Harry Nilsson Anthology","B000002WPP","Folk",1995,16.47,"Nilsson Schmilsson",0.832620474022249
"64","Nilsson Schmilsson","B000002W6Q","Folk",1990,9.99,"Personal Best: The Harry Nilsson Anthology",0.832620474022249
"65","Five Leaves Left","B00000064E","Country",1992,9.9,"Bryter Layter",0.832529656489257
"66","Bryter Layter","B00000064F","Folk",1992,8.99,"Five Leaves Left",0.832529656489257
"67","Personal Best: The Harry Nilsson Anthology","B000002WPP","Folk",1995,16.47,"Harry Nilsson - Greatest Hits",0.832408818990315
"68","Harry Nilsson - Greatest Hits","B0000631E5","Folk",2002,7.29,"Personal Best: The Harry Nilsson Anthology",0.832408818990315
"69","The Understanding","B00004YWGB","Rap & Hip-Hop",2000,11.38,"534",0.832339374024526
"70","534","B0009A401G","Rap & Hip-Hop",2005,10.93,"The Understanding",0.832339374024526
"71","Portrait of a Legend 1951-1964","B00009N1ZV","Pop",2016,10.19,"Live at the Harlem Square Club 1963",0.829859062761494
"72","Live at the Harlem Square Club 1963","B000002W7N","Pop",1990,9.99,"Portrait of a Legend 1951-1964",0.829859062761494
"73","Ten New Songs","B00005NUXS","Folk",2001,8.99,"Songs of Leonard Cohen",0.829267350516011
"74","Songs of Leonard Cohen","B0000024TT","Folk",1989,16.93,"Ten New Songs",0.829267350516011
"75","Experience Hendrix: The Best of Jimi Hendrix","B00000DHZJ","Pop",1998,29.99,"Are You Experienced",0.828570610868427
"76","Are You Experienced","B000002OPL","Blues",1993,12.07,"Experience Hendrix: The Best of Jimi Hendrix",0.828570610868427
"77","Living &amp; Dying in 3/4 Time","B000002PBH","Country",1989,7.5,"A1a",0.827034048673405
"78","A1a","B000002NYW","Country",1988,16.97,"Living &amp; Dying in 3/4 Time",0.827034048673405
"79","The Captain and the Kid","B000H7JDVI","Folk",2006,11.97,"Captain Fantastic and the Brown Dirt Cowboy",0.827009060039399
"80","Captain Fantastic and the Brown Dirt Cowboy","B000001EGA","Folk",1996,4.99,"The Captain and the Kid",0.827009060039399
"81","No Angel","B00000IAU3","Folk",1999,8.8,"Life for Rent",0.825011144152469
"82","Life for Rent","B000089RVR","Folk",2012,8.29,"No Angel",0.825011144152469
"83","Greatest Hits 2","B000002H1C","Rock",1990,10.88,"Eagles : The Very Best Of 2CD",0.824956642751047
"84","Death Certificate","B000003B7W","Rap & Hip-Hop",1991,39.99,"Amerikkkas Most Wanted",0.823797912765111
"85","Amerikkkas Most Wanted","B000003B6X","Rap & Hip-Hop",1990,14.98,"Death Certificate",0.823797912765111
"86","Amerikkkas Most Wanted","B00008BL44","Rap & Hip-Hop",2015,12.43,"Death Certificate",0.823797912765111
"87","Now That I've Found You: Collection","B0000002ME","Country",1995,8.94,"Forget About It",0.823702167621605
"88","Forget About It","B00000JMCL","Country",1999,14.49,"Now That I've Found You: Collection",0.823702167621605
"89","Best of Van Halen, Vol. 1","B000002NAA","Pop",1996,4.99,"1984",0.82269160469888
"90","1984","B000002KZR","Pop",1990,9.99,"Best of Van Halen, Vol. 1",0.82269160469888
"91","Living in Clip","B0000058MX","Alternative Rock",2017,23.85,"Little Plastic Castle",0.821784406195995
"92","Little Plastic Castle","B0000058MY","Alternative Rock",2017,15.94,"Living in Clip",0.821784406195995
"93","Songs from the West Coast","B00005NZDW","Folk",2001,8.85,"Elton John - Greatest Hits 1970-2002",0.82131233640347
"94","Elton John - Greatest Hits 1970-2002","B00006RAKP","Pop",2002,13.88,"Songs from the West Coast",0.82131233640347
"95","The Eminem Show [Limited Edition w/ Bonus DVD]","B00006690F","Rap & Hip-Hop",2002,9.49,"Encore Deluxe Edition",0.820851066027728
"96","Whatever","B000003TBY","Alternative Rock",1995,10,"I'm With Stupid",0.820467130118338
"97","I'm With Stupid","B000003TBW","Alternative Rock",1996,10,"Whatever",0.820467130118338
"98","Songs in the Attic","B0000025NU","Folk",1989,4.51,"Cold Spring Harbor",0.820431968604174
"99","Cold Spring Harbor","B00000DCHH","Folk",1998,9.99,"Songs in the Attic",0.820431968604174
"100","Orchid","B000005HN6","Other",1997,9.42,"Morningrise",0.819119613857486
"101","Morningrise","B000005HNA","Other",1997,31.66,"Orchid",0.819119613857486
"102","White Sport Coat &amp; Pink Crustacean","B000002PBW","Country",1987,7.39,"Living &amp; Dying in 3/4 Time",0.819036044605727
"103","Living &amp; Dying in 3/4 Time","B000002PBH","Country",1989,7.5,"White Sport Coat &amp; Pink Crustacean",0.819036044605727
"104","Singles 1969-1981","B00004R7VU","Pop",2000,8.82,"Made in America",0.818176925985181
"105","Made in America","B00000G3X0","Pop",2009,18.75,"Singles 1969-1981",0.818176925985181
"106","Me Against the World","B000003AEK","Rap & Hip-Hop",1995,3.99,"2Pac Greatest Hits",0.81814941108811
"107","2Pac Greatest Hits","B00000FCBH","Pop",1998,21.79,"Me Against the World",0.81814941108811
"108","The Last Temptation","B00006ZCFJ","Rap & Hip-Hop",2002,8.44,"Pain Is Love",0.817803026459442
"109","Pain Is Love","B00005ONMT","Rap & Hip-Hop",2001,8,"The Last Temptation",0.817803026459442
"110","Best of Don McLean","B000002UUF","Folk",1993,6.88,"American Pie",0.817505520666064
"111","American Pie","B000002UBU","Folk",1990,17.75,"Best of Don McLean",0.817505520666064
"112","The Very Best of Cat Stevens","B00004S51Y","Folk",2000,10.99,"Cat Stevens: Greatest Hits",0.816965283195735
"113","Cat Stevens: Greatest Hits","B00004YNGK","Folk",2000,4.99,"The Very Best of Cat Stevens",0.816965283195735
"114","Not a Pretty Girl","B0000058MQ","Alternative Rock",2017,11.33,"Living in Clip",0.816941125523083
"115","Living in Clip","B0000058MX","Alternative Rock",2017,23.85,"Not a Pretty Girl",0.816941125523083
"116","Thug World Order","B00006SM86","Rap & Hip-Hop",2004,11.14,"Btnhresurrection",0.816679678494182
"117","Btnhresurrection","B00004OCFE","Pop",2004,11.22,"Thug World Order",0.816679678494182
"118","Songs from the West Coast","B00005NZDW","Folk",2001,8.85,"Made In England",0.816647522532905
"119","Made In England","B000001EDN","Pop",1995,14.53,"Songs from the West Coast",0.816647522532905
"120","You Know How to Love Me","B00000K5AK","Jazz",1999,9.9,"The Legacy of",0.816485177607668
"121","The Legacy of","B000002VS3","Blues",1996,11.88,"You Know How to Love Me",0.816485177607668
"122","Pig Lib","B00008AY6B","Alternative Rock",2003,5.87,"Face the Truth",0.815953705788769
"123","Face the Truth","B0008FPIPY","Alternative Rock",2005,10.99,"Pig Lib",0.815953705788769
"124","The Understanding","B00004YWGB","Rap & Hip-Hop",2000,11.38,"Coming of Age",0.815885669825353
"125","Coming of Age","B00000K26Y","Rap & Hip-Hop",1999,19.52,"The Understanding",0.815885669825353
"126","Pink Moon","B00000064G","Folk",1992,29.99,"Bryter Layter",0.815550075416272
"127","Bryter Layter","B00000064F","Folk",1992,8.99,"Pink Moon",0.815550075416272
"128","All Eyez on Me","B00000163G","Pop",1996,14.99,"2Pac Greatest Hits",0.814632241570206
"129","2Pac Greatest Hits","B00000FCBH","Pop",1998,21.79,"All Eyez on Me",0.814632241570206
"130","If I Could Turn Back Time: Cher's Greatest Hits","B00000I8KE","Pop",1999,7.07,"Cher",0.814087582111806
"131","Cher","B000000OYK","Pop",1996,9.8,"If I Could Turn Back Time: Cher's Greatest Hits",0.814087582111806
"132","The Freedom Sessions [EP] [ENHANCED CD]","B000002VP3","Alternative Rock",1995,4.7,"Fumbling Towards Ecstasy",0.812988607718187
"133","Fumbling Towards Ecstasy","B000002VN7","Alternative Rock",1994,24.18,"The Freedom Sessions [EP] [ENHANCED CD]",0.812988607718187
"134","Singles 1969-1981","B00004R7VU","Pop",2000,8.82,"Close to You",0.812387038768099
"135","Close to You","B00000HY5E","Pop",1999,7.98,"Singles 1969-1981",0.812387038768099
"136","Not Too Late","B000KCHZK6","Folk",2007,8.5,"Feels Like Home",0.81175723661031
"137","Feels Like Home","B00018D44U","Folk",2004,8.98,"Not Too Late",0.81175723661031
"138","My Arms Your Hearse","B00000A6JS","Other",1998,9.49,"Morningrise",0.81156174142208
"139","Morningrise","B000005HNA","Other",1997,31.66,"My Arms Your Hearse",0.81156174142208
"140","Summer Breeze","B000002KE7","Folk",1995,19.05,"Seals &amp; Crofts: Greatest Hits",0.810350091526714
"141","Seals &amp; Crofts: Greatest Hits","B000002KHQ","Folk",1989,5,"Summer Breeze",0.810350091526714
"142","Songs in the Attic","B0000025NU","Folk",1989,4.51,"2000 Years: Millennium Concert",0.809930635638062
"143","2000 Years: Millennium Concert","B00004T0QB","Folk",2000,14.99,"Songs in the Attic",0.809930635638062
"144","Ruthless for Life","B000007T1E","Blues",2004,8.22,"Kizz My Black Azz",0.809326227576179
"145","Kizz My Black Azz","B000096FT9","Blues",2003,7.98,"Ruthless for Life",0.809326227576179
"146","Laugh Now Cry Later","B000FILWFY","Rap & Hip-Hop",2006,16.93,"Death Certificate",0.807368850211963
"147","Death Certificate","B000003B7W","Rap & Hip-Hop",1991,39.99,"Laugh Now Cry Later",0.807368850211963
"148","Robert Johnson: The Complete Recordings","B000002757","Blues",1990,16.99,"King of the Delta Blues",0.80696516677325
"149","King of the Delta Blues","B000002AI3","Blues",1997,13.07,"Robert Johnson: The Complete Recordings",0.80696516677325
"150","Laugh Now Cry Later","B000FILWFY","Rap & Hip-Hop",2006,16.93,"War &amp; Peace, Vol.2 The Peace Disc",0.80685257869583
"151","Why Should the Fire Die","B0009ML2BU","Folk",2005,11.88,"This Side",0.806422720552158
"152","This Side","B000066TPM","Country",2006,16.15,"Why Should the Fire Die",0.806422720552158
"153","Songs from the West Coast","B00005NZDW","Folk",2001,8.85,"Elton John - Greatest Hits",0.806227015708857
"154","Elton John - Greatest Hits","B000001DVP","Folk",1992,7.08,"Songs from the West Coast",0.806227015708857
"155","Ten New Songs","B00005NUXS","Folk",2001,8.99,"Dear Heather",0.806140239949451
"156","Dear Heather","B0002MPTDO","Folk",2004,9.56,"Ten New Songs",0.806140239949451
"157","Laugh Now Cry Later","B000FILWFY","Rap & Hip-Hop",2006,16.93,"War &amp; Peace Vol. 1 The War Disc [EXPLICIT LYRICS]",0.805993163283576
"158","Elton John's Greatest Hits, Volume 2","B000001DVR","Folk",1992,9.99,"Elton John - Greatest Hits 1970-2002",0.805665379880896
"159","Elton John - Greatest Hits 1970-2002","B00006RAKP","Pop",2002,13.88,"Elton John's Greatest Hits, Volume 2",0.805665379880896
"160","The Pet Sounds Sessions","B000002U4U","Pop",1997,39.5,"Pet Sounds",0.804496598076634
"161","Pet Sounds","B00000016W","Rock",1993,9.49,"The Pet Sounds Sessions",0.804496598076634
"162","Face Off 2","B0007LLPF6","Rap & Hip-Hop",2006,17.38,"By Any Means Necessary",0.804122266098853
"163","By Any Means Necessary","B0001LJC3E","Rap & Hip-Hop",2004,13.74,"Face Off 2",0.804122266098853
"164","Songs of Leonard Cohen","B0000024TT","Folk",1989,16.93,"I'm Your Man",0.803838150081425
"165","I'm Your Man","B0000026J6","Folk",1990,11.85,"Songs of Leonard Cohen",0.803838150081425
"166","Nastradamus","B000031XCY","Rap & Hip-Hop",1999,18.49,"God's Son Clean",0.803753564166009
"167","Etta James Rocks the House","B000002O9D","Blues",1992,7.35,"At Last!",0.803364486334397
"168","At Last!","B00000JNNY","Blues",1999,7.22,"Etta James Rocks the House",0.803364486334397
"169","Surfacing","B000002VT6","Alternative Rock",1997,13.24,"Mirrorball",0.803091559104152
"170","Mirrorball","B00000IOSU","Alternative Rock",1999,9.99,"Surfacing",0.803091559104152
"171","VH1 Presents the Corrs Live in Dublin","B000060OL5","Alternative Rock",2013,10.85,"In Blue",0.802388332594859
"172","In Blue","B00004U5AJ","Alternative Rock",2000,8.93,"VH1 Presents the Corrs Live in Dublin",0.802388332594859
"173","Solace","B000002VLB","Alternative Rock",1992,11.32,"Fumbling Towards Ecstasy",0.8013241331888
"174","Fumbling Towards Ecstasy","B000002VN7","Alternative Rock",1994,24.18,"Solace",0.8013241331888
"175","Morning View","B00005QG9J","Alternative Rock",2001,11.99,"A Crow Left of the Murder",0.800961712045268
"176","A Crow Left of the Murder","B00018D5CQ","Alternative Rock",2004,10.1,"Morning View",0.800961712045268
"177","Singles 1969-1981","B00004R7VU","Pop",2000,8.82,"Lovelines",0.800378925361999
"178","Lovelines","B000002GFQ","Pop",1989,5.99,"Singles 1969-1981",0.800378925361999
"179","Singles 1969-1981","B00004R7VU","Pop",2000,8.82,"Carpenters",0.799180936657556
"180","Carpenters","B00000G3WW","Pop",1998,11.18,"Singles 1969-1981",0.799180936657556
"181","Hits","B00000D9TQ","Pop",1998,8.4,"Face Value",0.799032752939354
"182","Face Value","B000002I8D","Pop",1989,5,"Hits",0.799032752939354
"183","Dusty in Memphis","B0000032UK","Pop",1992,10.49,"Brand New Me",0.798771885341795
"184","Brand New Me","B0000032UL","Pop",1992,13.49,"Dusty in Memphis",0.798771885341795
"185","Totally Hot","B0000087NS","Pop",1998,19.45,"Back to Basics: The Essential Collection 1971-1992",0.795834635161373
"186","Back to Basics: The Essential Collection 1971-1992","B000000OSU","Country",1992,7.42,"Totally Hot",0.795834635161373
"187","Hits","B00000D9TQ","Pop",1998,8.4,"Both Sides",0.794536654571039
"188","Both Sides","B000002IXB","Pop",1993,9.49,"Hits",0.794536654571039
"189","Live At The Old Quarter","B00000JHCL","Folk",1999,9.49,"In the Beginning",0.793648721961592
"190","In the Beginning","B00008V5TM","Folk",2016,8.99,"Live At The Old Quarter",0.793648721961592
"191","2Pac Greatest Hits","B00000FCBH","Pop",1998,21.79,"2pacalypse Now",0.793045563395855
"192","2pacalypse Now","B000005Z0E","Rap & Hip-Hop",2011,11.18,"2Pac Greatest Hits",0.793045563395855
"193","So Red the Rose","B000007O5J","Alternative Rock",1991,10.5,"Duran Duran the singles 81-85",0.792556233542284
"194","Duran Duran the singles 81-85","B00008NEGG","Alternative Rock",2009,18.99,"So Red the Rose",0.792556233542284
"195","Never Too Much","B00005MKDZ","Pop",2001,5.99,"Luther Vandross",0.792432270306402
"196","Luther Vandross","B00005KCGX","Blues",2001,9.55,"Never Too Much",0.792432270306402
"197","Ten New Songs","B00005NUXS","Folk",2001,8.99,"I'm Your Man",0.791604720515128
"198","I'm Your Man","B0000026J6","Folk",1990,11.85,"Ten New Songs",0.791604720515128
"199","Songs from the West Coast","B00005NZDW","Folk",2001,8.85,"Captain Fantastic and the Brown Dirt Cowboy",0.791462170873838
"200","Captain Fantastic and the Brown Dirt Cowboy","B000001EGA","Folk",1996,4.99,"Songs from the West Coast",0.791462170873838
"201","White Sport Coat &amp; Pink Crustacean","B000002PBW","Country",1987,7.39,"A1a",0.791041451379044
"202","A1a","B000002NYW","Country",1988,16.97,"White Sport Coat &amp; Pink Crustacean",0.791041451379044
"203","Surfacing","B000002VT6","Alternative Rock",1997,13.24,"Fumbling Towards Ecstasy",0.790065555655961
"204","Fumbling Towards Ecstasy","B000002VN7","Alternative Rock",1994,24.18,"Surfacing",0.790065555655961
"205","Songs from the West Coast","B00005NZDW","Folk",2001,8.85,"Elton John",0.79003036614875
"206","Elton John","B000001EG6","Folk",1996,7.98,"Songs from the West Coast",0.79003036614875
"207","Soulife","B00092ZMF2","Pop",2005,7.98,"Ain't Nobody Worryin'",0.789409070382367
"208","Ain't Nobody Worryin'","B000BR3464","Pop",2005,12.99,"Soulife",0.789409070382367
"209","Fumbling Towards Ecstasy","B000002VN7","Alternative Rock",1994,24.18,"Afterglow",0.789170502798865
"210","Afterglow","B000002735","Pop",1990,59.99,"Fumbling Towards Ecstasy",0.789170502798865
"211","Afterglow","B0000C6E4D","Alternative Rock",2003,8.93,"Fumbling Towards Ecstasy",0.789170502798865
"212","Elton John - Greatest Hits","B000001DVP","Folk",1992,7.08,"Elton John",0.789168369104204
"213","Elton John","B000001EG6","Folk",1996,7.98,"Elton John - Greatest Hits",0.789168369104204
"214","The Marshall Mathers LP","B00004T9UF","Rap & Hip-Hop",2000,8.39,"The Eminem Show [Limited Edition w/ Bonus DVD]",0.78872249192788
"215","The Eminem Show [Limited Edition w/ Bonus DVD]","B00006690F","Rap & Hip-Hop",2002,9.49,"The Marshall Mathers LP",0.78872249192788
"216","Toys in the Attic","B0000029AP","Pop",1993,9.38,"Aerosmith's Greatest Hits",0.788041654194375
"217","Aerosmith's Greatest Hits","B0000029B0","Pop",1993,4.99,"Toys in the Attic",0.788041654194375
"218","Close to You","B00000HY5E","Pop",1999,7.98,"Carpenters Gold CD [2 Discs]",0.787744865156317
"219","Taylor Hicks","B000IY04S6","Pop",2011,5.99,"Do I Make You Proud/ Takin' It To The Streets",0.787734646220434
"220","Do I Make You Proud/ Takin' It To The Streets","B000FMR4T8","Pop",2006,1.99,"Taylor Hicks",0.787734646220434
"221","Personal Best: The Harry Nilsson Anthology","B000002WPP","Folk",1995,16.47,"Harry Nilsson - All-Time Greatest Hits",0.78757192542235
"222","Harry Nilsson - All-Time Greatest Hits","B000002WD4","Folk",1990,26.87,"Personal Best: The Harry Nilsson Anthology",0.78757192542235
"223","Made in America","B00000G3X0","Pop",2009,18.75,"Carpenters Gold CD [2 Discs]",0.787021923639423
"224","Diver Down","B000002KNO","Pop",1990,9.49,"1984",0.786781603924335
"225","1984","B000002KZR","Pop",1990,9.99,"Diver Down",0.786781603924335
"226","Carpenters: The Essential Collection, 1965-1997","B00006LWSM","Pop",2002,37.99,"Carpenters Gold CD [2 Discs]",0.786058049124764
"227","Sleeping With the Past","B0000089FT","Pop",2001,13.82,"Elton John - Greatest Hits 1970-2002",0.785885141237915
"228","Elton John - Greatest Hits 1970-2002","B00006RAKP","Pop",2002,13.88,"Sleeping With the Past",0.785885141237915
"229","Past, Present &amp; Future [w/ Bonus DVD]","B0000AVBDS","Alternative Rock",2009,11.18,"Hellbilly Deluxe",0.785788926961025
"230","Hellbilly Deluxe","B00000AEFF","Alternative Rock",1998,10.93,"Past, Present &amp; Future [w/ Bonus DVD]",0.785788926961025
"231","Amerikkkas Most Wanted","B000003B6X","Rap & Hip-Hop",1990,14.98,"War &amp; Peace, Vol.2 The Peace Disc",0.785177937238305
"232","Amerikkkas Most Wanted","B00008BL44","Rap & Hip-Hop",2015,12.43,"War &amp; Peace, Vol.2 The Peace Disc",0.785177937238305
"233","Ten New Songs","B00005NUXS","Folk",2001,8.99,"New Skin for the Old Ceremony",0.785061804479418
"234","New Skin for the Old Ceremony","B000002AZZ","Folk",1995,9.99,"Ten New Songs",0.785061804479418
"235","Shock of the Hour","B000003C3D","Blues",1994,7.99,"Kizz My Black Azz",0.784686069802221
"236","Kizz My Black Azz","B000096FT9","Blues",2003,7.98,"Shock of the Hour",0.784686069802221
"237","Songs of Leonard Cohen","B0000024TT","Folk",1989,16.93,"New Skin for the Old Ceremony",0.784286813443442
"238","New Skin for the Old Ceremony","B000002AZZ","Folk",1995,9.99,"Songs of Leonard Cohen",0.784286813443442
"239","Trauma","B000AGTQ54","Rap & Hip-Hop",2005,16.96,"Quik Is the Name",0.784148970555658
"240","Quik Is the Name","B00000GBZ0","Blues",1998,12.99,"Trauma",0.784148970555658
"241","Singles 1969-1981","B00004R7VU","Pop",2000,8.82,"Carpenters: The Essential Collection, 1965-1997",0.784029017978347
"242","Carpenters: The Essential Collection, 1965-1997","B00006LWSM","Pop",2002,37.99,"Singles 1969-1981",0.784029017978347
"243","First Rays of the New Rising Sun","B000002P5R","Rock",1997,19.99,"Are You Experienced",0.783870167602084
"244","Are You Experienced","B000002OPL","Blues",1993,12.07,"First Rays of the New Rising Sun",0.783870167602084
"245","Van Halen","B000002KH3","Pop",1989,3.99,"Diver Down",0.783774352850161
"246","Diver Down","B000002KNO","Pop",1990,9.49,"Van Halen",0.783774352850161
"247","We Come Strapped","B0000029GI","Blues",1994,11.64,"Music to Driveby",0.78350241585289
"248","Music to Driveby","B0000028SB","Blues",1992,9.95,"We Come Strapped",0.78350241585289
"249","Nine Lives","B0000025GB","Pop",1990,12.23,"Hi Infidelity",0.782937735788664
"250","Hi Infidelity","B0000025KF","Pop",1988,12.99,"Nine Lives",0.782937735788664
"251","Ginuwine: Bachelor","B000002BLH","Blues",1996,7.95,"100% Ginuwine",0.782870315857322
"252","100% Ginuwine","B00000I926","Rap & Hip-Hop",1999,8.46,"Ginuwine: Bachelor",0.782870315857322
"253","Songs in the Attic","B0000025NU","Folk",1989,4.51,"12 Gardens: Live 2CD",0.782798203452117
"254","Kiss the Game Goodbye","B00005AKC0","Rap & Hip-Hop",2001,10.81,"Kiss of Death",0.782757937779896
"255","Kiss of Death","B00027JYOE","Rap & Hip-Hop",2004,11.18,"Kiss the Game Goodbye",0.782757937779896
"256","Elton John - Greatest Hits 1970-2002","B00006RAKP","Pop",2002,13.88,"Elton John",0.782419976183592
"257","Elton John","B000001EG6","Folk",1996,7.98,"Elton John - Greatest Hits 1970-2002",0.782419976183592
