"","asin","Alternative Rock","Blues","Country","Folk","Jazz","Other","Pop","Rap & Hip-Hop","Rock"
"131","B000000WGN",0,0,0,0,0,0,0,0,1
"132","B000000WGP",0,1,0,0,0,0,0,0,0
"133","B000000WGX",0,0,0,0,1,0,0,0,0
"134","B000000WGZ",1,0,0,0,0,0,0,0,0
"135","B000000WH4",0,0,0,1,0,0,0,0,0
"136","B000000WHB",0,0,0,0,0,0,1,0,0
"137","B000000WHW",1,0,0,0,0,0,0,0,0
"138","B000000WJ5",0,0,0,0,0,0,0,0,1
"139","B000000WJA",1,0,0,0,0,0,0,0,0
"140","B000000WZ4",1,0,0,0,0,0,0,0,0
"141","B000000Y1H",0,0,0,0,1,0,0,0,0
"142","B000000Y1W",0,0,0,0,1,0,0,0,0
"143","B000000Y2R",0,0,0,0,1,0,0,0,0
"144","B000000Y52",0,0,0,0,1,0,0,0,0
"145","B000000Y5M",0,0,0,0,1,0,0,0,0
"146","B000000Y5Y",0,0,0,0,1,0,0,0,0
"147","B000000YAL",0,0,0,0,1,0,0,0,0
"148","B000000YDT",0,0,0,0,1,0,0,0,0
"149","B000000YES",0,0,0,0,1,0,0,0,0
"150","B000000YFK",0,0,0,0,1,0,0,0,0
"151","B000000YG5",0,0,0,0,1,0,0,0,0
"152","B000000YGZ",0,0,0,0,1,0,0,0,0
"153","B000000YIQ",0,0,0,0,1,0,0,0,0
"154","B000000ZGO",0,0,0,0,0,0,1,0,0
"155","B000000ZGT",0,0,0,0,0,0,1,0,0
"156","B000000ZHM",0,1,0,0,0,0,0,0,0
"157","B000000ZHQ",0,1,0,0,0,0,0,0,0
"158","B000000ZKD",0,1,0,0,0,0,0,0,0
"159","B000000ZMS",0,1,0,0,0,0,0,0,0
"160","B0000011MD",0,1,0,0,0,0,0,0,0
"161","B0000011N5",0,0,0,1,0,0,0,0,0
"162","B0000011P7",0,0,0,0,0,0,1,0,0
"163","B0000011XM",1,0,0,0,0,0,0,0,0
"164","B0000012T3",0,1,0,0,0,0,0,0,0
"165","B0000013G5",0,0,0,0,0,0,1,0,0
"166","B0000013GB",0,1,0,0,0,0,0,0,0
"167","B0000013GH",0,0,0,0,0,0,1,0,0
"168","B0000013GL",0,1,0,0,0,0,0,0,0
"169","B0000013GT",0,0,0,0,0,0,0,1,0
"170","B00000163G",0,0,0,0,0,0,1,0,0
"171","B00000189I",1,0,0,0,0,0,0,0,0
"172","B0000019GE",1,0,0,0,0,0,0,0,0
"173","B0000019HU",1,0,0,0,0,0,0,0,0
"174","B0000019KE",1,0,0,0,0,0,0,0,0
"175","B0000019KU",1,0,0,0,0,0,0,0,0
"176","B0000019KZ",1,0,0,0,0,0,0,0,0
"177","B000001A5X",0,1,0,0,0,0,0,0,0
"178","B000001A5Z",0,0,0,0,1,0,0,0,0
"179","B000001A6N",0,0,0,0,0,0,0,0,1
"180","B000001A6X",0,0,0,0,0,0,0,0,1
"181","B000001A8C",0,1,0,0,0,0,0,0,0
"182","B000001A8H",0,1,0,0,0,0,0,0,0
"183","B000001A8T",0,1,0,0,0,0,0,0,0
"184","B000001A9C",0,1,0,0,0,0,0,0,0
"185","B000001AA2",0,1,0,0,0,0,0,0,0
"186","B000001AAB",0,0,0,0,1,0,0,0,0
"187","B000001AAF",0,0,0,0,0,0,1,0,0
"188","B000001AAT",0,1,0,0,0,0,0,0,0
"189","B000001ABG",0,1,0,0,0,0,0,0,0
"190","B000001ADD",0,0,0,0,0,0,0,0,1
"191","B000001ADF",0,0,0,0,0,0,0,0,1
"192","B000001AEE",0,0,0,0,0,0,1,0,0
"193","B000001AEL",0,0,0,0,0,0,1,0,0
"194","B000001AFF",0,1,0,0,0,0,0,0,0
"195","B000001AFH",0,1,0,0,0,0,0,0,0
"196","B000001AFY",0,1,0,0,0,0,0,0,0
"197","B000001AH0",0,1,0,0,0,0,0,0,0
"198","B000001AHX",0,1,0,0,0,0,0,0,0
"199","B000001AJI",0,0,0,0,0,0,0,0,1
"200","B000001AJK",0,0,0,0,0,0,0,1,0
"201","B000001AJO",0,0,0,0,0,0,0,0,1
"202","B000001AJU",0,0,0,0,0,0,0,0,1
"203","B000001AK5",0,1,0,0,0,0,0,0,0
"204","B000001AKR",0,1,0,0,0,0,0,0,0
"205","B000001AKT",0,1,0,0,0,0,0,0,0
"206","B000001ALI",0,0,0,0,0,0,1,0,0
"207","B000001ALK",0,0,0,0,0,0,0,0,1
"208","B000001AM7",0,1,0,0,0,0,0,0,0
"209","B000001AMX",0,1,0,0,0,0,0,0,0
"210","B000001ANM",0,1,0,0,0,0,0,0,0
"211","B000001ANR",0,1,0,0,0,0,0,0,0
"212","B000001BZT",0,0,1,0,0,0,0,0,0
"213","B000001D7E",0,0,0,0,0,0,1,0,0
"214","B000001DQG",0,0,0,1,0,0,0,0,0
"215","B000001DSD",0,0,0,0,0,0,1,0,0
"216","B000001DU5",1,0,0,0,0,0,0,0,0
"217","B000001DUK",0,1,0,0,0,0,0,0,0
"218","B000001DUP",0,0,0,0,0,0,1,0,0
"219","B000001DVP",0,0,0,1,0,0,0,0,0
"220","B000001DVR",0,0,0,1,0,0,0,0,0
"221","B000001DWX",0,1,0,0,0,0,0,0,0
"222","B000001DXH",0,0,0,1,0,0,0,0,0
"223","B000001DYH",0,1,0,0,0,0,0,0,0
"224","B000001DYS",0,1,0,0,0,0,0,0,0
"225","B000001DYY",1,0,0,0,0,0,0,0,0
"226","B000001DZ6",0,1,0,0,0,0,0,0,0
"227","B000001DZO",0,0,0,0,0,0,1,0,0
"228","B000001DZU",0,1,0,0,0,0,0,0,0
"229","B000001E0O",0,0,0,0,0,0,1,0,0
"230","B000001E0Q",0,1,0,0,0,0,0,0,0
"231","B000001E0S",0,1,0,0,0,0,0,0,0
"232","B000001E0U",0,1,0,0,0,0,0,0,0
"233","B000001E44",0,1,0,0,0,0,0,0,0
"234","B000001E46",0,0,0,1,0,0,0,0,0
"235","B000001E54",0,1,0,0,0,0,0,0,0
"236","B000001E56",0,1,0,0,0,0,0,0,0
"237","B000001E58",0,1,0,0,0,0,0,0,0
"238","B000001E5X",0,0,1,0,0,0,0,0,0
"239","B000001E8L",0,0,0,1,0,0,0,0,0
"240","B000001EC1",0,0,0,0,0,0,1,0,0
"241","B000001EDN",0,0,0,0,0,0,1,0,0
"242","B000001EE8",0,1,0,0,0,0,0,0,0
"243","B000001EEP",0,0,0,0,1,0,0,0,0
"244","B000001EFF",0,0,0,0,1,0,0,0,0
"245","B000001EG2",0,0,0,1,0,0,0,0,0
"246","B000001EG6",0,0,0,1,0,0,0,0,0
"247","B000001EG8",1,0,0,0,0,0,0,0,0
"248","B000001EGA",0,0,0,1,0,0,0,0,0
"249","B000001EGC",0,0,0,1,0,0,0,0,0
"250","B000001EGE",0,0,0,1,0,0,0,0,0
"251","B000001EGI",0,0,0,1,0,0,0,0,0
"252","B000001EIU",0,1,0,0,0,0,0,0,0
"253","B000001EIW",0,0,0,0,1,0,0,0,0
"254","B000001EJU",0,1,0,0,0,0,0,0,0
"255","B000001EKE",0,1,0,0,0,0,0,0,0
"256","B000001EM3",0,0,0,1,0,0,0,0,0
"257","B000001EOG",0,1,0,0,0,0,0,0,0
"258","B000001EP1",1,0,0,0,0,0,0,0,0
"259","B000001EUP",0,0,0,0,0,0,1,0,0
"260","B000001EW3",0,0,1,0,0,0,0,0,0
"261","B000001EW7",0,0,0,0,0,0,1,0,0
"262","B000001EWU",0,1,0,0,0,0,0,0,0
"263","B000001EXB",0,0,0,1,0,0,0,0,0
"264","B000001EYI",0,0,0,0,0,0,1,0,0
"265","B000001F00",0,0,0,0,0,0,1,0,0
"266","B000001F2S",0,0,0,0,0,0,1,0,0
"267","B000001F38",1,0,0,0,0,0,0,0,0
"268","B000001F4B",1,0,0,0,0,0,0,0,0
"269","B000001F4T",0,1,0,0,0,0,0,0,0
"270","B000001F4X",0,0,0,0,0,0,1,0,0
"271","B000001F4Z",0,1,0,0,0,0,0,0,0
"272","B000001F5Y",0,0,0,0,0,0,1,0,0
"273","B000001F60",0,0,0,0,0,0,1,0,0
"274","B000001F66",0,0,0,0,0,0,1,0,0
"275","B000001F6A",0,0,0,0,0,0,1,0,0
"276","B000001F6G",0,0,0,0,0,0,1,0,0
"277","B000001F6P",0,0,0,0,0,0,1,0,0
"278","B000001F7V",0,0,0,0,0,0,1,0,0
"279","B000001F8P",0,0,0,0,0,0,1,0,0
"280","B000001F9J",0,1,0,0,0,0,0,0,0
"281","B000001F9P",0,1,0,0,0,0,0,0,0
"282","B000001FA7",0,1,0,0,0,0,0,0,0
"283","B000001FAG",1,0,0,0,0,0,0,0,0
"284","B000001FAO",0,0,0,0,0,0,1,0,0
"285","B000001FC0",1,0,0,0,0,0,0,0,0
"286","B000001FCB",0,0,0,0,1,0,0,0,0
"287","B000001FCK",0,1,0,0,0,0,0,0,0
"288","B000001FCM",0,1,0,0,0,0,0,0,0
"289","B000001FD5",1,0,0,0,0,0,0,0,0
"290","B000001FE0",1,0,0,0,0,0,0,0,0
"291","B000001FFJ",1,0,0,0,0,0,0,0,0
"292","B000001FIH",0,0,0,0,0,1,0,0,0
"293","B000001FJV",0,1,0,0,0,0,0,0,0
"294","B000001FJW",1,0,0,0,0,0,0,0,0
"295","B000001FJY",0,0,0,0,0,0,1,0,0
"296","B000001FKH",0,1,0,0,0,0,0,0,0
"297","B000001FKJ",0,1,0,0,0,0,0,0,0
"298","B000001FND",0,0,0,0,0,0,1,0,0
"299","B000001FNE",1,0,0,0,0,0,0,0,0
"300","B000001FOJ",0,1,0,0,0,0,0,0,0
"301","B000001FPI",0,1,0,0,0,0,0,0,0
"302","B000001FQI",1,0,0,0,0,0,0,0,0
"303","B000001FT2",1,0,0,0,0,0,0,0,0
"304","B000001FT9",0,0,0,0,0,0,1,0,0
"305","B000001FTS",1,0,0,0,0,0,0,0,0
"306","B000001FTX",0,0,0,0,0,0,0,0,1
"307","B000001FU5",1,0,0,0,0,0,0,0,0
"308","B000001FU6",0,0,0,0,0,0,1,0,0
"309","B000001FU9",0,1,0,0,0,0,0,0,0
"310","B000001FUB",0,1,0,0,0,0,0,0,0
"311","B000001FUF",0,1,0,0,0,0,0,0,0
"312","B000001FVL",1,0,0,0,0,0,0,0,0
"313","B000001FWQ",0,0,0,0,0,0,1,0,0
"314","B000001FXV",1,0,0,0,0,0,0,0,0
"315","B000001FYF",0,0,0,0,0,1,0,0,0
"316","B000001FZ6",0,0,0,0,0,0,1,0,0
"317","B000001FZH",0,0,0,0,0,0,1,0,0
"318","B000001FZW",0,1,0,0,0,0,0,0,0
"319","B000001G03",0,1,0,0,0,0,0,0,0
"320","B000001G07",0,1,0,0,0,0,0,0,0
"321","B000001G09",0,0,0,0,0,0,1,0,0
"322","B000001G0E",0,0,0,0,0,0,0,1,0
"323","B000001G0Q",0,1,0,0,0,0,0,0,0
"324","B000001G0U",0,0,0,1,0,0,0,0,0
"325","B000001I0C",1,0,0,0,0,0,0,0,0
"326","B000001I0O",1,0,0,0,0,0,0,0,0
"327","B000001I0R",1,0,0,0,0,0,0,0,0
"328","B000001IPS",1,0,0,0,0,0,0,0,0
"329","B000001IU1",1,0,0,0,0,0,0,0,0
"330","B000001O4U",0,0,0,0,0,0,0,1,0
"331","B000001PGZ",0,0,0,0,1,0,0,0,0
"332","B000001QJN",0,0,0,0,1,0,0,0,0
"333","B000001U4Y",0,0,1,0,0,0,0,0,0
"334","B000001UK0",0,1,0,0,0,0,0,0,0
"335","B000001UKE",0,0,0,0,0,0,0,1,0
"336","B000001UNF",1,0,0,0,0,0,0,0,0
"337","B000001Y13",0,1,0,0,0,0,0,0,0
"338","B000001Y15",0,0,0,0,0,0,1,0,0
"339","B000001Y1B",0,0,0,0,0,0,0,1,0
"340","B000001Y3J",0,1,0,0,0,0,0,0,0
"341","B000001Y47",1,0,0,0,0,0,0,0,0
"342","B000001Y4M",1,0,0,0,0,0,0,0,0
"343","B000001Y4W",1,0,0,0,0,0,0,0,0
"344","B000001Y57",1,0,0,0,0,0,0,0,0
"345","B000001Y5B",1,0,0,0,0,0,0,0,0
"346","B000001Y5D",1,0,0,0,0,0,0,0,0
"347","B000001Y5F",1,0,0,0,0,0,0,0,0
"348","B000001Y61",0,1,0,0,0,0,0,0,0
"349","B000001Y73",1,0,0,0,0,0,0,0,0
"350","B000001ZBL",0,0,0,0,0,0,0,1,0
"351","B000001ZCS",1,0,0,0,0,0,0,0,0
"352","B00000203G",1,0,0,0,0,0,0,0,0
"353","B00000235Q",0,0,0,0,0,0,1,0,0
"354","B0000024I7",0,0,0,0,0,0,1,0,0
"355","B0000024IB",0,0,0,0,0,0,0,1,0
"356","B0000024IE",0,0,0,0,0,0,0,1,0
"357","B0000024II",0,0,0,0,0,0,0,1,0
"358","B0000024IS",0,1,0,0,0,0,0,0,0
"359","B0000024IY",0,0,0,0,0,0,0,1,0
"360","B0000024JD",0,0,0,0,0,0,0,1,0
"361","B0000024JN",1,0,0,0,0,0,0,0,0
"362","B0000024JZ",0,0,0,0,0,0,0,1,0
"363","B0000024KQ",0,0,0,0,0,0,0,1,0
"364","B0000024KT",0,0,0,0,0,0,0,1,0
"365","B0000024L0",0,0,0,0,0,0,0,1,0
"366","B0000024LN",0,0,0,0,0,0,0,1,0
"367","B0000024LT",0,0,0,0,0,0,0,1,0
"368","B0000024LW",0,0,0,0,0,0,0,1,0
"369","B0000024MU",0,0,0,0,0,0,0,1,0
"370","B0000024MZ",0,0,0,0,0,0,1,0,0
"371","B0000024PC",0,0,0,1,0,0,0,0,0
"372","B0000024S9",0,0,0,1,0,0,0,0,0
"373","B0000024SN",0,0,0,1,0,0,0,0,0
"374","B0000024T5",0,0,0,1,0,0,0,0,0
"375","B0000024TT",0,0,0,1,0,0,0,0,0
"376","B0000024UX",0,0,0,1,0,0,0,0,0
"377","B0000024VP",0,0,0,1,0,0,0,0,0
"378","B0000024VQ",0,0,0,1,0,0,0,0,0
"379","B0000024VT",0,0,0,0,0,0,1,0,0
"380","B0000024VV",0,0,0,1,0,0,0,0,0
"381","B0000024WG",0,0,0,1,0,0,0,0,0
"382","B0000024WV",0,0,0,0,1,0,0,0,0
"383","B0000024WW",0,0,0,0,0,0,1,0,0
"384","B0000024XY",0,0,0,1,0,0,0,0,0
"385","B0000024YL",0,0,0,1,0,0,0,0,0
"386","B0000024ZC",0,0,0,0,0,0,1,0,0
"387","B0000024ZF",0,0,0,0,0,0,1,0,0
"388","B0000024ZL",0,0,0,0,0,0,1,0,0
"389","B0000024ZQ",0,0,0,0,0,0,1,0,0
"390","B0000024ZV",0,0,0,0,0,0,1,0,0
"391","B00000250W",0,0,0,0,0,0,1,0,0
"392","B000002510",0,1,0,0,0,0,0,0,0
"393","B00000251D",0,0,0,0,0,0,1,0,0
"394","B00000252W",0,0,0,0,0,0,1,0,0
"395","B000002537",0,0,0,1,0,0,0,0,0
"396","B000002539",0,0,0,1,0,0,0,0,0
"397","B00000253J",0,0,0,0,1,0,0,0,0
"398","B00000253N",0,0,0,1,0,0,0,0,0
"399","B00000254I",0,0,0,1,0,0,0,0,0
"400","B00000255A",0,0,0,0,0,0,1,0,0
"401","B00000255B",0,0,0,0,0,0,1,0,0
"402","B000002562",0,0,0,1,0,0,0,0,0
"403","B000002563",0,0,0,0,0,0,1,0,0
"404","B000002564",0,0,0,0,0,0,1,0,0
"405","B00000256E",0,0,0,0,0,0,1,0,0
"406","B00000256G",0,0,0,1,0,0,0,0,0
"407","B00000257B",0,1,0,0,0,0,0,0,0
"408","B00000258G",0,1,0,0,0,0,0,0,0
"409","B00000259D",0,0,0,0,0,0,1,0,0
"410","B00000259L",0,0,0,1,0,0,0,0,0
"411","B0000025A7",0,0,0,0,0,0,1,0,0
"412","B0000025AD",0,0,0,0,0,0,1,0,0
"413","B0000025AK",0,0,0,0,0,0,1,0,0
"414","B0000025AM",0,1,0,0,0,0,0,0,0
"415","B0000025AS",0,0,0,0,0,0,1,0,0
"416","B0000025B9",0,0,0,1,0,0,0,0,0
"417","B0000025BA",0,0,0,1,0,0,0,0,0
"418","B0000025BE",0,0,0,1,0,0,0,0,0
"419","B0000025BF",0,0,0,1,0,0,0,0,0
"420","B0000025BH",0,0,0,1,0,0,0,0,0
"421","B0000025BT",0,0,0,0,0,0,1,0,0
"422","B0000025BY",1,0,0,0,0,0,0,0,0
"423","B0000025C3",0,0,0,0,0,0,1,0,0
"424","B0000025CM",0,1,0,0,0,0,0,0,0
"425","B0000025CO",0,0,0,0,0,0,1,0,0
"426","B0000025CY",0,0,0,0,0,0,1,0,0
"427","B0000025D3",0,0,0,1,0,0,0,0,0
"428","B0000025DD",0,0,0,0,0,0,0,0,1
"429","B0000025DR",0,0,0,0,0,0,1,0,0
"430","B0000025DT",0,0,0,0,0,0,1,0,0
"431","B0000025ED",0,0,0,1,0,0,0,0,0
"432","B0000025EN",0,0,0,1,0,0,0,0,0
"433","B0000025F7",0,1,0,0,0,0,0,0,0
"434","B0000025FG",0,0,0,0,0,0,1,0,0
"435","B0000025FJ",1,0,0,0,0,0,0,0,0
"436","B0000025GB",0,0,0,0,0,0,1,0,0
"437","B0000025GR",0,1,0,0,0,0,0,0,0
"438","B0000025GT",0,0,0,1,0,0,0,0,0
"439","B0000025H2",0,0,0,0,0,0,1,0,0
"440","B0000025HE",0,0,0,0,0,0,1,0,0
"441","B0000025HK",1,0,0,0,0,0,0,0,0
"442","B0000025HY",0,0,0,0,0,0,1,0,0
"443","B0000025IA",0,1,0,0,0,0,0,0,0
"444","B0000025JT",0,0,0,0,0,0,1,0,0
"445","B0000025JY",0,0,0,0,0,0,1,0,0
"446","B0000025K6",1,0,0,0,0,0,0,0,0
"447","B0000025KF",0,0,0,0,0,0,1,0,0
"448","B0000025L7",1,0,0,0,0,0,0,0,0
"449","B0000025LB",1,0,0,0,0,0,0,0,0
"450","B0000025NB",1,0,0,0,0,0,0,0,0
"451","B0000025NJ",0,0,0,1,0,0,0,0,0
"452","B0000025NU",0,0,0,1,0,0,0,0,0
"453","B0000025OA",0,1,0,0,0,0,0,0,0
"454","B0000025OL",1,0,0,0,0,0,0,0,0
"455","B0000025ON",0,0,0,0,0,0,1,0,0
"456","B0000025OR",0,0,0,0,0,0,1,0,0
"457","B0000025OY",0,0,0,0,0,0,1,0,0
"458","B0000025R3",1,0,0,0,0,0,0,0,0
"459","B0000025RD",0,0,0,0,0,0,1,0,0
"460","B0000025RI",0,1,0,0,0,0,0,0,0
"461","B0000025RM",0,0,0,0,0,0,1,0,0
"462","B0000025TB",1,0,0,0,0,0,0,0,0
"463","B0000025UL",0,1,0,0,0,0,0,0,0
"464","B0000025UZ",1,0,0,0,0,0,0,0,0
"465","B0000025V1",0,0,0,0,0,0,1,0,0
"466","B0000025V4",0,0,0,0,0,0,1,0,0
"467","B0000025VC",0,0,0,0,0,0,1,0,0
"468","B0000025VH",0,0,0,0,0,0,1,0,0
"469","B0000025VL",0,0,0,0,0,0,1,0,0
"470","B0000025WQ",1,0,0,0,0,0,0,0,0
"471","B0000025WY",0,0,0,0,0,0,1,0,0
"472","B0000025XA",0,0,0,1,0,0,0,0,0
"473","B0000025XT",1,0,0,0,0,0,0,0,0
"474","B0000025YB",1,0,0,0,0,0,0,0,0
"475","B0000025YF",0,1,0,0,0,0,0,0,0
"476","B0000025YM",1,0,0,0,0,0,0,0,0
"477","B0000025YO",1,0,0,0,0,0,0,0,0
"478","B0000025Z4",1,0,0,0,0,0,0,0,0
"479","B0000025Z8",1,0,0,0,0,0,0,0,0
"480","B0000025ZB",0,0,0,0,0,0,1,0,0
"481","B0000025ZZ",0,1,0,0,0,0,0,0,0
"482","B000002605",1,0,0,0,0,0,0,0,0
"483","B00000260Q",0,0,0,0,0,0,1,0,0
"484","B000002610",0,0,0,0,0,0,1,0,0
"485","B00000261N",0,0,0,0,0,0,1,0,0
"486","B00000261P",1,0,0,0,0,0,0,0,0
"487","B00000261U",0,0,0,0,0,0,1,0,0
"488","B000002631",0,1,0,0,0,0,0,0,0
"489","B000002638",0,1,0,0,0,0,0,0,0
"490","B00000263H",0,0,0,0,0,0,1,0,0
"491","B00000263P",1,0,0,0,0,0,0,0,0
"492","B00000264E",0,0,0,0,0,0,1,0,0
"493","B00000264F",0,0,0,0,0,0,1,0,0
"494","B000002652",0,0,0,0,0,0,1,0,0
"495","B00000266C",1,0,0,0,0,0,0,0,0
"496","B00000266K",1,0,0,0,0,0,0,0,0
"497","B00000266N",1,0,0,0,0,0,0,0,0
